,AwayTeam,Country,Date,Div,Division,FTAG,FTHG,HomeTeam,ODDA,ODDD,ODDH,over,season,under
0,Atletico-PR,Brazil,2009-12-06,BR1,1,0,0,Barueri,3.4,3.4,2.1,1.67,2009,2.15
1,Palmeiras,Brazil,2009-12-06,BR1,1,1,2,Botafogo RJ,3.2,3.5,2.15,1.62,2009,2.25
2,Fluminense,Brazil,2009-12-06,BR1,1,1,1,Coritiba,3.4,3.3,2.1,1.75,2009,2.04
3,Gremio,Brazil,2009-12-06,BR1,1,1,2,Flamengo RJ,12.0,5.75,1.22,1.55,2009,2.38
4,Santo Andre,Brazil,2009-12-06,BR1,1,1,4,Internacional,8.0,4.75,1.36,1.6,2009,2.29
5,Cruzeiro,Brazil,2009-12-06,BR1,1,2,1,Santos,2.63,3.4,2.63,1.7,2009,2.1
6,Sport Recife,Brazil,2009-12-06,BR1,1,0,4,Sao Paulo,12.0,6.0,1.22,1.5,2009,2.5
7,Goias,Brazil,2009-12-06,BR1,1,2,2,Vitoria,5.5,3.75,1.62,1.6,2009,2.29
8,Corinthians,Brazil,2009-12-05,BR1,1,3,0,Atletico-MG,5.25,3.75,1.62,1.62,2009,2.25
9,Avai,Brazil,2009-12-05,BR1,1,1,0,Nautico,3.25,3.25,2.25,1.53,2009,2.4
10,Botafogo RJ,Brazil,2009-11-29,BR1,1,0,2,Atletico-PR,3.75,3.4,2.0,1.95,2009,1.85
11,Santos,Brazil,2009-11-29,BR1,1,2,2,Avai,3.0,3.25,2.29,1.73,2009,2.08
12,Flamengo RJ,Brazil,2009-11-29,BR1,1,2,0,Corinthians,2.1,3.25,3.5,1.85,2009,1.95
13,Coritiba,Brazil,2009-11-29,BR1,1,1,4,Cruzeiro,6.5,4.2,1.5,1.7,2009,2.1
14,Vitoria,Brazil,2009-11-29,BR1,1,0,4,Fluminense,5.5,3.75,1.6,1.7,2009,2.1
15,Sao Paulo,Brazil,2009-11-29,BR1,1,2,4,Goias,2.25,3.25,3.1,1.8,2009,2.0
16,Barueri,Brazil,2009-11-29,BR1,1,2,4,Gremio,5.75,3.8,1.57,1.7,2009,2.1
